timestamp,user_id,skill,task_id,difficulty,answer_type,question,answer,user_answer,is_correct,time_taken
2026-01-15T13:35:21.205591,test_user,logical,LOG-CONSTRAINT-0-3-2,0,yesno,"B is faster than A.
A is faster than C.
Is C faster than B?",no,n,1,20.904388904571533
2026-01-15T13:36:00.285280,test_user,logical,LOG-COMP-2-3,2,yesno,B is older than C. A is older than B. Is A older than C?,yes,y,1,39.07829022407532
2026-01-15T13:36:13.333176,test_user,pattern,PAT-CP-4-2-4,4,integer,"12, 13, 12, 13",12,12,1,13.046714067459106
2026-01-15T13:36:17.109094,test_user,numerical,NUM-RATIO-INVERSE-6,6,integer,"9 -> 3, 30 -> ?",10,10,1,3.77467942237854
2026-01-15T13:36:19.628770,test_user,numerical,NUM-SQUARE-8,8,integer,What is 5^2?,25,25,1,2.518390417098999
2026-01-15T13:36:26.077435,test_user,numerical,NUM-RATIOSCALING-10,10,integer,"2 -> 8, 10 -> ?",40,40,1,6.447416543960571
2026-01-15T13:37:22.094859,test_user,logical,LOG-COMP-12-6,12,yesno,C is faster than D. C is faster than F. A is faster than C. Is A faster than F?,yes,y,1,56.015440464019775
2026-01-15T13:37:36.253810,test_user,numerical,NUM-NEARBOUNDARY-14,14,integer,What is 96 + 12?,108,108,1,14.157453060150146
2026-01-15T13:37:45.718651,test_user,numerical,NUM-DIV-16,16,integer,What is 6000 divided by 750?,8,8,1,9.46336317062378
2026-01-15T13:38:05.885655,test_user,logical,LOG-COMP-18-8,18,yesno,H is heavier than E. E is heavier than G. B is heavier than F. F is heavier than E. Is E heavier than B?,no,n,1,20.165024518966675
